"DateTime";"Crecimiento PIB real, Trimestral, base: 2015"
"2006/03/31";6,38
"2006/06/30";5,32
"2006/09/30";7,65
"2006/12/31";7,4
"2007/03/31";6,71
"2007/06/30";6,86
"2007/09/30";6,85
"2007/12/31";6,54
"2008/03/31";5,17
"2008/06/30";4,79
"2008/09/30";3,32
"2008/12/31";0,28
"2009/03/31";0,15
"2009/06/30";0,7
"2009/09/30";0,53
"2009/12/31";3,04
"2010/03/31";3,88
"2010/06/30";4,62
"2010/09/30";4,05
"2010/12/31";5,34
"2011/03/31";6,8
"2011/06/30";6,78
"2011/09/30";7,92
"2011/12/31";6,33
"2012/03/31";6,14
"2012/06/30";4,85
"2012/09/30";2,25
"2012/12/31";2,7
"2013/03/31";2,38
"2013/06/30";5,37
"2013/09/30";6,25
"2013/12/31";6,35
"2014/03/31";6,6
"2014/06/30";3,43
"2014/09/30";4,39
"2014/12/31";3,76
"2015/03/31";2,83
"2015/06/30";3,42
"2015/09/30";3,58
"2015/12/31";2,06
"2016/03/31";2,37
"2016/06/30";2,12
"2016/09/30";1,56
"2016/12/31";2,3
"2017/03/31";1,07
"2017/06/30";1,27
"2017/09/30";1,69
"2017/12/31";1,39
"2018/03/31";1,65
"2018/06/30";2,75
"2018/09/30";2,88
"2018/12/31";2,91
"2019/03/31";3,48
"2019/06/30";3,08
"2019/09/30";3,13
"2019/12/31";3,09
"2020/03/31";0,35
"2020/06/30";-16,71
"2020/09/30";-9,08
"2020/12/31";-3,31
"2021/03/31";1,5
"2021/06/30";18,42
"2021/09/30";13,32
"2021/12/31";11,08
"2022/03/31";8,11
"2022/06/30";12,39
"2022/09/30";7,4
"2022/12/31";2,33
"2023/03/31";2,81
"2023/06/30";0,41
"2023/09/30";-0,45
"2023/12/31";0,73
"2024/03/31";0,32
"2024/06/30";1,6
"2024/09/30";1,61
"2024/12/31";2,36
"2025/03/31";2,59
"2025/06/30";2,12
"2025/09/30";3,6
"2025/12/31";2,27
